,Expected Energy of Entire Decay (keV/atom of parent isotope),Isotope
138Eu,1158.55,138Eu
138Gd,1158.55,138Gd
138I,4801.13,138I
138La,11.13315,138La
138Nd,1158.55,138Nd
138Pm,1158.55,138Pm
138Pr,1158.55,138Pr
138Sm,1158.55,138Sm
138Sn,3011.0,138Sn
138Te,6747.13,138Te
138Xe,1905.38,138Xe
139Ba,891.51,139Ba
139Cs,2562.21,139Cs
139Dy,0.0,139Dy
139Eu,5592.72,139Eu
139Gd,5592.72,139Gd
139I,6623.52,139I
139Nd,238.73,139Nd
139Pm,2141.64,139Pm
139Pr,41.47,139Pr
139Sb,11907.52,139Sb
139Sm,3605.81,139Sm
139Sn,15162.52,139Sn
139Tb,0.0,139Tb
139Te,8999.52,139Te
139Xe,4142.21,139Xe
13B,6352.86,13B
13N,490.85,13N
13O,8411.16,13O
140Ba,799.71,140Ba
140Cs,2709.91,140Cs
140Eu,5323.9400000000005,140Eu
140Gd,6619.78,140Gd
140Ho,0.0,140Ho
140I,6538.62,140I
140La,525.63,140La
140Pm,2011.28,140Pm
140Pr,544.25,140Pr
140Sb,12133.33,140Sb
140Sm,2157.19,140Sm
140Tb,9556.48,140Tb
140Te,8870.33,140Te
140Xe,3798.38,140Xe
141Ba,2052.12,141Ba
141Ce,145.19,141Ce
141Cs,3558.12,141Cs
141Dy,8202.33,141Dy
141Eu,3219.24,141Eu
141Gd,5359.04,141Gd
141Ho,0.0,141Ho
141I,8320.97,141I
141La,1132.32,141La
141Nd,9.51,141Nd
141Pm,602.75,141Pm
141Sm,1310.21,141Sm
141Tb,8202.33,141Tb
141Xe,5895.969999999999,141Xe
142Ba,1371.1,142Ba
142Cs,3851.1,142Cs
142Dy,8988.27,142Dy
142Eu,4156.28,142Eu
142Gd,4885.38,142Gd
142Ho,8988.27,142Ho
142La,961.9,142La
142Pm,1353.07,142Pm
142Pr,809.9671436,142Pr
142Sb,3283.0,142Sb
142Sm,1391.62,142Sm
142Tb,8988.27,142Tb
142Xe,5254.5,142Xe
143Ba,3147.03,143Ba
143Ce,716.63,143Ce
143Cs,5041.16,143Cs
143Dy,3632.22,143Dy
143Eu,1879.81,143Eu
143Gd,3632.22,143Gd
143La,1952.03,143La
143Pm,0.0,143Pm
143Pr,315.08,143Pr
143Sm,488.78,143Sm
143Tb,3632.22,143Tb
143Xe,7091.16,143Xe
144Ba,5056.83,144Ba
144Ce,3140.8300000000004,144Ce
144Cs,7646.0999999999985,144Cs
144Dy,2056.45,144Dy
144Eu,2056.45,144Eu
144Gd,2056.45,144Gd
144La,4127.030000000001,144La
144Nd,1850.24,144Nd
144Pm,1850.24,144Pm
